POSITIVA,POSITIVA,POSITIVA,POSITIVA,POSITIVA,POSITIVA,POSITIVA,POSITIVA,NEGATIVA,NEGATIVA,NEGATIVA,NEGATIVA,NEGATIVA,NEGATIVA,NEGATIVA,NEGATIVA,POSITIVA,POSITIVA,POSITIVA,NEGATIVA,NEGATIVA,NEGATIVA,POSITIVA,POSITIVA,NEGATIVA,NEGATIVA,POSITIVA,POSITIVA,POSITIVA,NEGATIVA,NEGATIVA,NEGATIVA,POSITIVA,POSITIVA,NEGATIVA,NEGATIVA,POSITIVA,POSITIVA,POSITIVA,NEGATIVA,NEGATIVA,NEGATIVA,POSITIVA,POSITIVA,NEGATIVA,NEGATIVA,POSITIVA,POSITIVA,NEGATIVA,NEGATIVA,SURPRESA,EMOÇÕES NÃO ESPECIFICAS,INDIFERENÇA
BENEVOLÊNCIA,BENEVOLÊNCIA,BENEVOLÊNCIA,BENEVOLÊNCIA,BENEVOLÊNCIA,BENEVOLÊNCIA,BENEVOLÊNCIA,BENEVOLÊNCIA,MALEVOLÊNCIA,MALEVOLÊNCIA,MALEVOLÊNCIA,MALEVOLÊNCIA,MALEVOLÊNCIA,MALEVOLÊNCIA,MALEVOLÊNCIA,MALEVOLÊNCIA,BEM ESTAR,BEM ESTAR,BEM ESTAR,MAL ESTAR,MAL ESTAR,MAL ESTAR,BEM ESTAR,BEM ESTAR,MAL ESTAR,MAL ESTAR,BEM ESTAR,BEM ESTAR,BEM ESTAR,MAL ESTAR,MAL ESTAR,MAL ESTAR,BEM ESTAR,BEM ESTAR,MAL ESTAR,MAL ESTAR,BEM ESTAR,BEM ESTAR,BEM ESTAR,MAL ESTAR,MAL ESTAR,MAL ESTAR,SEGURANÇA,SEGURANÇA,ANSIEDADE,ANSIEDADE,SEGURANÇA,SEGURANÇA,ANSIEDADE,ANSIEDADE,,,
AFEIÇÃO,AFEIÇÃO,AFEIÇÃO,AFEIÇÃO,GENTILEZA,GENTILEZA,GENTILEZA,GENTILEZA,ÓDIO,ÓDIO,ÓDIO,ÓDIO,AGRESSIVIDADE,AGRESSIVIDADE,AGRESSIVIDADE,AGRESSIVIDADE,FELICIDADE,FELICIDADE,FELICIDADE,SOFRIMENTO,SOFRIMENTO,SOFRIMENTO,LUCIDEZ,LUCIDEZ,LOUCURA,LOUCURA,ENTUSIASMO,ENTUSIASMO,ENTUSIASMO,DEPRESSÃO,DEPRESSÃO,DEPRESSÃO,ALÍVIO,ALÍVIO,PERTURBAÇÃO,PERTURBAÇÃO,SATISFAÇÃO,SATISFAÇÃO,SATISFAÇÃO,INSATISFAÇÃO,INSATISFAÇÃO,INSATISFAÇÃO,CORAGEM,CORAGEM,MEDO,MEDO,CALMA,CALMA,TENSÃO,TENSÃO,,,
AMOR,DESEJO,ADMIRAÇÃO,ATRACÇÃO,BONDADE,DOÇURA,PACIÊNCIA,HUMILDADE,RESSENTIMENTO,DESGOSTO,DESPREZO,IRRITAÇÃO,CRUELDADE,RAIVA,IRA,ORGULHO,FELIZ,PRAZER,RISO,DRAMA,DOR,CHORO,SAÚDE MENTAL,EQUILÍBRIO,DOENÇA MENTAL,DESIQUILÍBRIO,ALEGRIA,VIVACIDADE,ALERTA,TRISTEZA,FADIGA,APATIA,APAZIGUAR,LIBERTAÇÃO,AGITAÇÃO,REMORSO,ESTIMA,SACIEDADE,AGRADO,HUMILHAÇÃO,FRUSTRAÇÃO,DESAGRADO,AUDÁCIA,EXTROVERSÃO,PAVOR,INTROVERSÃO,TRANQUILIDADE,RELAXAMENTO,ANGÚSTIA,INQUIETUDE,,,
131,45,90,50,95,37,37,32,93,49,189,132,194,65,31,101,20,42,43,63,85,26,6,45,151,132,32,94,17,93,105,86,64,64,112,31,51,18,66,131,99,94,85,36,104,26,55,19,62,58,32,341,24
abraçar,ambição,aclamação,aprazível,acolhedor,acarinhar,conformação,brio,animosidade,asco,abandalhação,amuado,abruptamente,abusar,cólera,absoluto,afortunado,arrebatador,anedota,adversativo,agonia,choradeira,bem-estar,astuto,abstinência,aberração,alegrar,activo,alerta,abandonado,abarrotado,amorfo,acalmar,autenticidade,abalada,arrepender,abençoado,cheio,agradar,afronta,ausência,aborrecer,afrontar,autonomia,abominado,acanhado,acalmia,desanuviamento,aflição,alarido,abananado,afectado,alexitimia
abraço,ambicionar,aclamar,atractivo,acolhedor,aconchegar,conformado,briosa,antipatia,ascorosidade,abandalhado,amuar,abrupto,abusivo,colérico,altivez,beatitude,desfrutação,burlesco,adversidade,agoniar,choramingar,equilibrar,bom senso,abuso,absurdo,alegre,alacridade,alertar,abandonada,abarrotar,apatia,ajuda,autêntico,abalado,arrependido,abençoar,completa,agradáveis,afrontado,ausentar-se,aborrecidamente,ânimo,autónomo,abominar,acanhamento,brando,desanuviar,afligir,alarmante,abananar,afectar,ataraxia
adoração,ambicioso,admiração,atraente,acolher,amenidade,conformar,brioso,antipático,ascoroso,abandalhamento,amuo,agreste,agredir,encolerizar,altivo,beato,desfrutar,comédia,adverso,agónico,choramingas,razão,brilhante,adicto,anormal,alegremente,animação,atenção,abandonar,abater,apática,ajudar,cândido,abalar,arrependimento,apreço,completo,agradável,afrontamento,ausente,aborrecido,animoso,comunicativo,abominável,complexado,brandura,descompressão,aflitivo,alarmar,admiração,agudizar,desmotivação
adorada,anseio,admirado,atrair,acolhida,angelical,esperar,carácter,antipatizar,aversão,abandalhar,arrepiar,artificial,agressão,indignação,autólatra,contentamento,desfrute,cómico,azar,agonizante,chorão,razoável,brilhantismo,adoecer,anormalidade,alegrete,animado,atentamente,abandono,abatida,apático,aliviar,desbloquear,abalo,censurável,condescendência,fartura,agradavelmente,afrontosamente,carência,aborrecimento,arrojado,desinibição,amedrontado,complexo,calma,descomprimir,aflito,alarme,admirado,aperfeiçoamento,desmotivado
adorado,ânsia,admirar,charme,acolhimento,angélico,longânime,caracterial,charlatão,badalhocar,abominação,assediado,artificialidade,agressivamente,indignado,autolatria,contentar,desfruto,desentediar,azarar,agonizar,chorar,sanidade,cautela,adoentado,apanhado,alegria,animar,atento,afectação,abatido,atonia,alívio,desbloqueio,abalroação,compunção,condescendente,fastio,agrado,afrontoso,carenciar,adulteração,atrever-se,desinibido,amedrontar,embaraço,calmante,descontracção,amargor,alarmismo,embasbacado,aperfeiçoar,desmotivar
